subject_id,content,A,B,C,D,correct,difficulty
65,Công nghệ phần mềm là gì?,Ngành áp dụng phương pháp kỹ thuật có hệ thống vào phát triển và bảo trì phần mềm,Việc viết mã chương trình,Thiết kế phần cứng máy tính,Quản trị mạng,A,easy
65,Vòng đời phát triển phần mềm gồm những giai đoạn cơ bản nào?,"Phân tích, thiết kế, cài đặt, kiểm thử và bảo trì",Viết mã và chạy thử,Mua và cài đặt,Thiết kế và bán hàng,A,easy
65,Mô hình thác nước (Waterfall) có đặc điểm gì?,"Các giai đoạn tuần tự, giai đoạn sau bắt đầu khi giai đoạn trước hoàn tất",Lặp đi lặp lại liên tục,Phát triển song song mọi giai đoạn,Không cần tài liệu,A,easy
65,Nhược điểm chính của mô hình thác nước là gì?,Khó thay đổi yêu cầu khi đã sang giai đoạn sau,Tốn quá nhiều nhân lực,Không có tài liệu,Không kiểm thử được,A,medium
65,Mô hình Agile nhấn mạnh điều gì?,"Phát triển lặp, thích ứng thay đổi và hợp tác với khách hàng",Tài liệu đầy đủ trước khi lập trình,Kế hoạch cố định không đổi,Bàn giao một lần duy nhất,A,easy
65,Scrum là gì?,Một khung làm việc thuộc Agile chia công việc thành các Sprint,Một ngôn ngữ lập trình,Một công cụ kiểm thử,Một mô hình cơ sở dữ liệu,A,easy
65,Sprint trong Scrum thường kéo dài bao lâu?,1 đến 4 tuần,1 ngày,6 tháng,1 năm,A,medium
65,Vai trò Product Owner trong Scrum có nhiệm vụ gì?,Quản lý và sắp xếp ưu tiên danh sách yêu cầu sản phẩm,Viết mã chương trình,Kiểm thử phần mềm,Quản trị máy chủ,A,medium
65,Scrum Master có vai trò gì?,Hỗ trợ nhóm tuân thủ Scrum và loại bỏ trở ngại,Quyết định mọi yêu cầu,Trực tiếp lập trình,Ký hợp đồng với khách hàng,A,medium
65,Daily Standup trong Scrum có mục đích gì?,Đồng bộ tiến độ và phát hiện trở ngại hàng ngày,Báo cáo cho cấp trên,Đánh giá năng lực cá nhân,Lập kế hoạch dài hạn,A,medium
65,Đặc tả yêu cầu phần mềm (SRS) là gì?,Tài liệu mô tả đầy đủ chức năng và ràng buộc của hệ thống,Mã nguồn chương trình,Kế hoạch kiểm thử,Sổ tay người dùng,A,medium
65,Yêu cầu chức năng khác yêu cầu phi chức năng ở điểm nào?,"Yêu cầu chức năng mô tả hệ thống làm gì, phi chức năng mô tả làm tốt đến đâu",Không có khác biệt,Phi chức năng quan trọng hơn,Chức năng chỉ có trong Agile,A,medium
65,Ví dụ nào là yêu cầu phi chức năng?,Hệ thống phải phản hồi dưới 2 giây,Người dùng đăng nhập bằng tài khoản,Hệ thống cho phép tạo đề thi,Giáo viên nhập điểm,A,medium
