subject_id,content,A,B,C,D,correct,difficulty
69,Marketing là gì?,"Hoạt động tạo ra, truyền thông và cung cấp giá trị cho khách hàng",Chỉ là quảng cáo sản phẩm,Hoạt động bán hàng trực tiếp,Nghiên cứu sản xuất,A,easy
69,Marketing mix 4P gồm những yếu tố nào?,"Product, Price, Place, Promotion","People, Process, Physical, Product","Plan, Post, Price, Place","Product, Profit, People, Place",A,easy
69,Chữ P đầu tiên trong 4P là gì?,Sản phẩm,Giá cả,Phân phối,Xúc tiến,A,easy
69,Mô hình 7P bổ sung thêm những yếu tố nào so với 4P?,"People, Process, Physical Evidence","Profit, Plan, Position","Promotion, Place, Price","Product, People, Profit",A,medium
69,Nhu cầu (needs) khác mong muốn (wants) ở điểm nào?,"Nhu cầu là đòi hỏi cơ bản, mong muốn là hình thức cụ thể của nhu cầu",Hai khái niệm giống nhau,Mong muốn cơ bản hơn nhu cầu,Nhu cầu do quảng cáo tạo ra,A,medium
69,Phân khúc thị trường là gì?,Chia thị trường thành các nhóm khách hàng có đặc điểm tương đồng,Chia sản phẩm thành nhiều loại,Phân chia lãnh thổ bán hàng,Chia nhỏ giá bán,A,easy
69,Tiêu thức nào thường dùng để phân khúc thị trường?,"Địa lý, nhân khẩu học, tâm lý và hành vi",Chỉ theo độ tuổi,Chỉ theo thu nhập,Chỉ theo khu vực,A,medium
69,Thị trường mục tiêu là gì?,Nhóm khách hàng doanh nghiệp quyết định tập trung phục vụ,Toàn bộ dân số,Đối thủ cạnh tranh chính,Nhà cung cấp nguyên liệu,A,easy
69,Định vị sản phẩm nghĩa là gì?,Tạo hình ảnh khác biệt về sản phẩm trong tâm trí khách hàng,Đặt sản phẩm ở vị trí đẹp trên kệ,Xác định địa điểm bán hàng,Định giá sản phẩm,A,medium
69,Chu kỳ sống của sản phẩm gồm mấy giai đoạn?,"Bốn giai đoạn: giới thiệu, tăng trưởng, bão hòa, suy thoái",Hai giai đoạn,Ba giai đoạn,Năm giai đoạn,A,medium
69,"Ở giai đoạn giới thiệu, doanh nghiệp thường gặp tình trạng gì?","Doanh thu thấp, chi phí marketing cao, lợi nhuận âm hoặc thấp",Lợi nhuận cao nhất,Doanh thu bão hòa,Cạnh tranh gay gắt nhất,A,medium
69,Giai đoạn bão hòa có đặc điểm gì?,"Doanh thu tăng chậm hoặc ổn định, cạnh tranh gay gắt",Doanh thu tăng vọt,Ít đối thủ cạnh tranh,Chi phí marketing thấp nhất,A,medium
69,Chiến lược giá hớt váng (skimming) áp dụng khi nào?,Định giá cao khi mới tung sản phẩm độc đáo ra thị trường,Định giá thấp để chiếm thị phần,Giá bằng đối thủ,Bán dưới giá vốn,A,hard
69,Chiến lược giá thâm nhập (penetration) nhằm mục đích gì?,Định giá thấp để nhanh chóng chiếm lĩnh thị phần,Tối đa lợi nhuận ngay lập tức,Tạo hình ảnh cao cấp,Giảm sản lượng,A,hard
69,Kênh phân phối trực tiếp có đặc điểm gì?,Doanh nghiệp bán thẳng cho người tiêu dùng không qua trung gian,Qua nhiều cấp trung gian,Chỉ bán sỉ,Chỉ xuất khẩu,A,easy
69,Vai trò của trung gian phân phối là gì?,"Giảm số lần giao dịch, đưa hàng tới người tiêu dùng hiệu quả hơn",Làm tăng giá sản phẩm vô ích,Chỉ để lưu kho,Không có vai trò gì,A,medium
69,Xúc tiến hỗn hợp bao gồm những công cụ nào?,"Quảng cáo, khuyến mại, quan hệ công chúng, bán hàng cá nhân, marketing trực tiếp",Chỉ quảng cáo,Chỉ khuyến mại,Chỉ bán hàng cá nhân,A,medium
69,Quảng cáo khác quan hệ công chúng ở điểm nào?,"Quảng cáo phải trả tiền và kiểm soát nội dung, PR thường không trả tiền trực tiếp",PR đắt hơn quảng cáo,Hai hoạt động giống nhau,Quảng cáo không tốn chi phí,A,medium
69,Nghiên cứu thị trường nhằm mục đích gì?,Thu thập thông tin để ra quyết định marketing chính xác,Tăng doanh số ngay lập tức,Giảm chi phí sản xuất,Tuyển dụng nhân sự,A,easy
69,Dữ liệu sơ cấp trong nghiên cứu thị trường là gì?,Dữ liệu tự thu thập lần đầu cho mục đích nghiên cứu cụ thể,Dữ liệu có sẵn từ nguồn khác,Dữ liệu thống kê của nhà nước,Báo cáo ngành đã công bố,A,medium
69,Dữ liệu thứ cấp có ưu điểm gì?,Chi phí thấp và thu thập nhanh,Luôn chính xác tuyệt đối,Phù hợp hoàn hảo mọi mục tiêu,Không ai khác có được,A,medium
69,Hành vi mua của người tiêu dùng chịu ảnh hưởng bởi yếu tố nào?,"Văn hóa, xã hội, cá nhân và tâm lý",Chỉ giá cả sản phẩm,Chỉ quảng cáo,Chỉ thu nhập,A,medium
69,Quá trình ra quyết định mua gồm mấy bước?,Năm bước từ nhận biết nhu cầu đến hành vi sau mua,Hai bước,Ba bước,Bảy bước,A,medium
69,Thương hiệu (brand) là gì?,Tập hợp dấu hiệu và cảm nhận giúp phân biệt sản phẩm với đối thủ,Chỉ là logo công ty,Tên đăng ký kinh doanh,Bằng sáng chế,A,easy
69,Giá trị thương hiệu mang lại lợi ích gì?,"Tạo lòng trung thành, cho phép định giá cao hơn",Giảm chi phí sản xuất,Tăng số lượng nhân viên,Giảm thuế phải nộp,A,medium
69,SWOT phân tích những yếu tố nào?,"Điểm mạnh, điểm yếu, cơ hội và thách thức","Sản phẩm, giá, phân phối, xúc tiến","Doanh thu, chi phí, lợi nhuận, thuế","Khách hàng, đối thủ, nhà cung cấp, nhân viên",A,easy
69,"Trong SWOT, điểm mạnh và điểm yếu thuộc yếu tố nào?",Bên trong doanh nghiệp,Bên ngoài môi trường,Của đối thủ cạnh tranh,Của khách hàng,A,medium
69,Cơ hội và thách thức trong SWOT thuộc yếu tố nào?,Môi trường bên ngoài,Nội bộ doanh nghiệp,Chỉ liên quan tài chính,Do nhân viên tạo ra,A,medium
69,Marketing số (digital marketing) bao gồm hoạt động nào?,"SEO, quảng cáo trực tuyến, mạng xã hội, email marketing",Chỉ phát tờ rơi,Chỉ quảng cáo truyền hình,Chỉ trưng bày cửa hàng,A,easy
