subject_id,content,A,B,C,D,correct,difficulty
49,Choose the correct answer: She ___ to school every day.,go,goes,going,gone,B,easy
49,Choose the correct answer: They ___ football yesterday.,play,plays,played,playing,C,easy
49,Choose the correct answer: I have lived here ___ 2010.,for,since,from,during,B,medium
49,"Choose the correct answer: If it ___ tomorrow, we will stay at home.",rain,rains,rained,will rain,B,medium
49,Choose the correct answer: This book is ___ than that one.,interesting,more interesting,most interesting,the most interesting,B,easy
49,Choose the correct answer: He is the ___ student in the class.,tall,taller,tallest,more tall,C,easy
49,Choose the correct answer: The letter ___ by Mary last week.,wrote,was written,is written,has written,B,medium
49,Choose the correct answer: I wish I ___ more free time.,have,had,will have,having,B,hard
49,Choose the correct answer: She asked me where I ___ from.,come,came,will come,coming,B,medium
49,Choose the correct answer: Neither John nor his friends ___ coming.,is,are,was,has,B,hard
49,Choose the word with different stress pattern.,'water,'table,'window,de'cide,D,medium
49,"Choose the word whose underlined part is pronounced differently: cats, dogs, books, maps",cats,dogs,books,maps,B,medium
49,Choose the correct answer: I am looking forward to ___ you.,see,seeing,saw,seen,B,medium
49,Choose the correct answer: He suggested ___ to the cinema.,to go,going,go,went,B,medium
49,Choose the correct answer: It is the best film I have ___ seen.,never,ever,already,yet,B,medium
49,Choose the correct answer: She has been studying English ___ five years.,since,for,in,at,B,easy
49,Choose the correct answer: My father ___ working in this company since 2015.,has been,have been,is,was,A,medium
49,Choose the correct answer: The man ___ lives next door is a doctor.,which,who,whom,whose,B,medium
49,Choose the correct answer: This is the house ___ roof was damaged.,which,who,whose,that,C,hard
49,Choose the correct answer: You had better ___ some rest.,take,to take,taking,took,A,medium
49,Choose the correct answer: I would rather ___ at home tonight.,stay,to stay,staying,stayed,A,hard
49,Choose the correct answer: He used to ___ a lot when he was young.,travel,traveling,traveled,travels,A,medium
49,Choose the correct answer: The meeting ___ off because of the storm.,put,was put,puts,putting,B,medium
49,Choose the correct answer: She is interested ___ learning Japanese.,on,in,at,for,B,easy
49,Choose the correct answer: They are proud ___ their daughter.,of,on,with,for,A,easy
49,Choose the correct answer: He apologized ___ being late.,of,for,on,about to,B,medium
49,"Choose the correct answer: Despite ___ tired, he continued working.",be,being,to be,was,B,hard
49,"Choose the correct answer: ___ he is poor, he is happy.",Despite,In spite of,Although,Because,C,medium
49,"Choose the correct answer: The more you practice, ___ you become.",the better,better,the best,best,A,hard
49,Choose the correct answer: Hardly ___ arrived when the phone rang.,he had,had he,he has,has he,B,hard
