subject_id,content,A,B,C,D,correct,difficulty
56,Kỹ năng mềm là gì?,"Nhóm kỹ năng liên quan đến cách ứng xử, giao tiếp và làm việc với người khác",Kỹ năng sử dụng phần mềm máy tính,Kỹ năng chuyên môn nghề nghiệp,Kỹ năng vận hành máy móc,A,easy
56,Giao tiếp hiệu quả bao gồm yếu tố nào?,"Lắng nghe, diễn đạt rõ ràng và phản hồi phù hợp",Chỉ nói thật nhiều,Chỉ im lặng lắng nghe,Chỉ dùng ngôn ngữ cơ thể,A,easy
56,Lắng nghe chủ động thể hiện qua hành vi nào?,"Tập trung, đặt câu hỏi làm rõ và phản hồi lại nội dung",Ngắt lời để góp ý ngay,Vừa nghe vừa dùng điện thoại,Gật đầu cho qua chuyện,A,easy
56,Ngôn ngữ cơ thể chiếm vai trò như thế nào trong giao tiếp?,Truyền tải phần lớn thông điệp cảm xúc,Không có ý nghĩa gì,Chỉ quan trọng khi thuyết trình,Chỉ dành cho diễn viên,A,medium
56,"Khi thuyết trình, điều quan trọng nhất là gì?",Hiểu rõ đối tượng nghe và truyền đạt thông điệp rõ ràng,Nói càng nhanh càng tốt,Đọc nguyên văn slide,Dùng thật nhiều hiệu ứng,A,easy
56,Slide thuyết trình tốt nên như thế nào?,"Ít chữ, ý chính rõ ràng, hình ảnh minh họa phù hợp",Càng nhiều chữ càng đầy đủ,Nhiều màu sắc rực rỡ,Chỉ toàn hình ảnh không có chữ,A,easy
56,Cách khắc phục hồi hộp khi nói trước đám đông là gì?,"Chuẩn bị kỹ, tập luyện trước và hít thở sâu",Tránh nhìn khán giả,Nói thật nhanh cho xong,Học thuộc lòng từng chữ,A,easy
56,Kỹ năng làm việc nhóm đòi hỏi điều gì?,"Hợp tác, chia sẻ thông tin và tôn trọng ý kiến khác biệt",Mỗi người làm riêng phần mình,Một người quyết định tất cả,Tránh mọi tranh luận,A,easy
56,Vai trò của trưởng nhóm là gì?,"Điều phối công việc, tạo động lực và giải quyết xung đột",Làm thay toàn bộ công việc,Chỉ giám sát và phê bình,Chỉ báo cáo kết quả,A,easy
56,"Khi có xung đột trong nhóm, cách xử lý tốt nhất là gì?","Trao đổi thẳng thắn, tập trung vào vấn đề chứ không vào cá nhân",Im lặng bỏ qua,Tranh cãi đến khi thắng,Báo cáo cấp trên ngay lập tức,A,medium
56,Phương pháp brainstorming có nguyên tắc nào?,"Khuyến khích mọi ý tưởng, không phê phán trong giai đoạn đầu",Chỉ nhận ý tưởng khả thi,Chỉ trưởng nhóm được nêu ý tưởng,Đánh giá ngay từng ý tưởng,A,medium
56,Quản lý thời gian hiệu quả bắt đầu từ việc gì?,Xác định mục tiêu và sắp xếp thứ tự ưu tiên công việc,Làm việc nhiều giờ hơn,Làm nhiều việc cùng lúc,Trì hoãn việc khó,A,easy
56,Ma trận Eisenhower phân loại công việc theo tiêu chí nào?,Mức độ quan trọng và mức độ khẩn cấp,Thời gian và chi phí,Khó và dễ,Cá nhân và tập thể,A,medium
56,"Theo ma trận Eisenhower, việc quan trọng nhưng không khẩn cấp nên xử lý thế nào?",Lên kế hoạch thực hiện,Làm ngay lập tức,Ủy thác cho người khác,Loại bỏ,A,hard
56,Nguyên tắc SMART trong đặt mục tiêu gồm những yếu tố nào?,"Cụ thể, đo lường được, khả thi, liên quan và có thời hạn","Nhanh, mạnh, chính xác","Đơn giản, rẻ, hiệu quả","Sáng tạo, mới mẻ, độc đáo",A,medium
56,Kỹ năng giải quyết vấn đề gồm bước đầu tiên nào?,Xác định và phân tích đúng vấn đề,Đưa ra giải pháp ngay,Tìm người chịu trách nhiệm,Báo cáo cấp trên,A,medium
56,Tư duy phản biện là gì?,"Khả năng phân tích, đánh giá thông tin một cách khách quan trước khi kết luận",Luôn phản đối ý kiến người khác,Chấp nhận mọi thông tin,Tranh luận để thắng,A,medium
56,Tư duy sáng tạo thể hiện qua điều gì?,Nhìn vấn đề từ nhiều góc độ và đưa ra giải pháp mới mẻ,Làm theo cách cũ cho an toàn,Sao chép ý tưởng người khác,Tránh mọi rủi ro,A,easy
56,Trí tuệ cảm xúc (EQ) bao gồm năng lực nào?,Nhận biết và quản lý cảm xúc của bản thân và người khác,Ghi nhớ nhiều thông tin,Tính toán nhanh,Học ngoại ngữ giỏi,A,medium
56,"Khi nhận phản hồi tiêu cực, thái độ đúng đắn là gì?","Bình tĩnh lắng nghe, ghi nhận và rút kinh nghiệm",Phản bác ngay lập tức,Im lặng và giận dỗi,Bỏ ngoài tai,A,easy
56,Cách đưa phản hồi mang tính xây dựng là gì?,"Cụ thể, tập trung vào hành vi và đề xuất hướng cải thiện",Chỉ trích tính cách cá nhân,Nói chung chung,Phê bình trước đám đông,A,medium
56,Kỹ năng đàm phán hiệu quả hướng tới kết quả nào?,Đôi bên cùng có lợi,Bên mình thắng tuyệt đối,Nhượng bộ hoàn toàn,Kéo dài không kết thúc,A,medium
56,Chuẩn bị cho một buổi phỏng vấn xin việc cần làm gì?,"Tìm hiểu về công ty, vị trí ứng tuyển và chuẩn bị câu trả lời",Chỉ cần ăn mặc đẹp,Đến sớm là đủ,Không cần chuẩn bị gì,A,easy
56,Một CV tốt nên có đặc điểm gì?,"Ngắn gọn, trung thực, nêu bật kinh nghiệm phù hợp vị trí ứng tuyển",Càng dài càng tốt,Liệt kê mọi hoạt động từ nhỏ,Dùng nhiều màu sắc bắt mắt,A,easy
56,"Khi trả lời câu hỏi Điểm yếu của bạn là gì, nên trả lời thế nào?",Nêu điểm yếu thật kèm cách bạn đang khắc phục,Nói không có điểm yếu nào,Kể hết mọi khuyết điểm,Từ chối trả lời,A,medium
56,Văn hóa doanh nghiệp là gì?,"Hệ thống giá trị, chuẩn mực và hành vi chung của tổ chức",Các hoạt động văn nghệ trong công ty,Quy định về đồng phục,Chính sách lương thưởng,A,medium
56,Đạo đức nghề nghiệp đòi hỏi điều gì?,"Trung thực, trách nhiệm và tôn trọng lợi ích chung",Chỉ cần hoàn thành công việc,Tuân thủ tuyệt đối mọi mệnh lệnh,Đặt lợi ích cá nhân lên trên,A,easy
