subject_id,content,A,B,C,D,correct,difficulty
67,Kinh tế vĩ mô nghiên cứu đối tượng nào?,Nền kinh tế như một tổng thể,Hành vi của từng doanh nghiệp,Quyết định của người tiêu dùng cá nhân,Cách định giá một sản phẩm,A,easy
67,GDP là gì?,Tổng giá trị hàng hóa dịch vụ cuối cùng được sản xuất trong lãnh thổ một nước trong một thời kỳ,Tổng thu nhập của người dân một nước ở mọi nơi,Tổng tài sản quốc gia,Tổng ngân sách nhà nước,A,easy
67,GNP khác GDP ở điểm nào?,"GNP tính theo quyền sở hữu công dân, GDP tính theo lãnh thổ",GNP luôn lớn hơn GDP,Hai chỉ tiêu giống nhau,GDP tính cả nước ngoài,A,medium
67,GDP danh nghĩa khác GDP thực tế ở điểm nào?,GDP thực tế đã loại trừ ảnh hưởng của biến động giá,GDP danh nghĩa chính xác hơn,Hai chỉ tiêu bằng nhau,GDP thực tế tính theo giá hiện hành,A,medium
67,GDP bình quân đầu người phản ánh điều gì?,Mức sống trung bình của dân cư một nước,Tổng sản lượng quốc gia,Tỷ lệ thất nghiệp,Mức lạm phát,A,easy
67,Phương pháp tính GDP theo chi tiêu gồm những thành phần nào?,"Tiêu dùng, đầu tư, chi tiêu chính phủ và xuất khẩu ròng","Lương, lãi, tiền thuê, lợi nhuận","Nông nghiệp, công nghiệp, dịch vụ",Thuế và trợ cấp,A,medium
67,Xuất khẩu ròng được tính như thế nào?,Xuất khẩu trừ nhập khẩu,Xuất khẩu cộng nhập khẩu,Nhập khẩu trừ xuất khẩu,Tổng kim ngạch thương mại,A,easy
67,Lạm phát là gì?,Sự tăng lên của mức giá chung trong nền kinh tế,Sự tăng giá của một mặt hàng,Sự giảm sản lượng,Sự tăng thất nghiệp,A,easy
67,Chỉ số nào thường dùng để đo lạm phát?,Chỉ số giá tiêu dùng CPI,GDP thực tế,Tỷ lệ thất nghiệp,Cán cân thương mại,A,easy
67,Lạm phát do cầu kéo xảy ra khi nào?,Khi tổng cầu tăng vượt khả năng cung ứng của nền kinh tế,Khi chi phí sản xuất tăng,Khi sản lượng giảm,Khi tiền lương giảm,A,medium
67,Lạm phát do chi phí đẩy xảy ra khi nào?,"Khi chi phí đầu vào như nguyên liệu, tiền lương tăng",Khi tổng cầu tăng mạnh,Khi cung tiền giảm,Khi xuất khẩu tăng,A,medium
67,Tác hại của lạm phát cao là gì?,"Làm giảm sức mua đồng tiền, méo mó phân bổ nguồn lực",Tăng thu nhập thực tế,Khuyến khích tiết kiệm,Ổn định kinh tế,A,easy
