subject_id,content,A,B,C,D,correct,difficulty
46,Đảng Cộng sản Việt Nam ra đời là kết quả của sự kết hợp giữa những yếu tố nào?,"Chủ nghĩa Mác - Lênin, phong trào công nhân và phong trào yêu nước",Phong trào nông dân và trí thức,Chỉ phong trào công nhân,Sự giúp đỡ của Quốc tế Cộng sản,A,medium
46,Hội nghị thành lập Đảng đầu năm 1930 diễn ra ở đâu?,"Hương Cảng, Trung Quốc","Pác Bó, Cao Bằng","Paris, Pháp","Mátxcơva, Liên Xô",A,medium
46,Ai chủ trì Hội nghị thành lập Đảng Cộng sản Việt Nam?,Nguyễn Ái Quốc,Trần Phú,Lê Hồng Phong,Hà Huy Tập,A,easy
46,Ba tổ chức cộng sản năm 1929 hợp nhất thành Đảng Cộng sản Việt Nam gồm những tổ chức nào?,"Đông Dương Cộng sản Đảng, An Nam Cộng sản Đảng, Đông Dương Cộng sản Liên đoàn",Việt Nam Quốc dân Đảng và Tân Việt,Hội Việt Nam Cách mạng Thanh niên và Việt Minh,Đảng Lao động và Đảng Dân chủ,A,medium
46,Cương lĩnh chính trị đầu tiên của Đảng do ai soạn thảo?,Nguyễn Ái Quốc,Trần Phú,Lê Duẩn,Trường Chinh,A,easy
46,Luận cương chính trị tháng 10/1930 do ai soạn thảo?,Nguyễn Ái Quốc,Trần Phú,Nguyễn Văn Cừ,Lê Hồng Phong,B,medium
46,Phong trào cách mạng 1930 - 1931 đạt đỉnh cao ở đâu?,Xô viết Nghệ - Tĩnh,Nam Kỳ,Bắc Sơn,Ba Tơ,A,easy
46,Mặt trận Việt Minh được thành lập vào thời gian nào?,Tháng 5/1941,Tháng 8/1945,Tháng 9/1939,Tháng 3/1935,A,medium
46,Hội nghị Trung ương lần thứ 8 (5/1941) có chủ trương quan trọng gì?,Đặt nhiệm vụ giải phóng dân tộc lên hàng đầu,Tập trung đấu tranh giai cấp,Thành lập chính phủ liên hiệp,Tiến hành cải cách ruộng đất,A,hard
46,Cách mạng Tháng Tám thành công vào năm nào?,1930,1941,1945,1954,C,easy
46,Nước Việt Nam Dân chủ Cộng hòa ra đời vào ngày nào?,19/8/1945,2/9/1945,6/1/1946,19/12/1946,B,easy
46,Cuộc Tổng tuyển cử đầu tiên của nước Việt Nam độc lập diễn ra khi nào?,6/1/1946,2/9/1945,19/12/1946,1/5/1946,A,medium
46,Lời kêu gọi Toàn quốc kháng chiến được phát đi vào thời gian nào?,19/12/1946,2/9/1945,7/5/1954,30/4/1975,A,medium
46,Đường lối kháng chiến chống Pháp của Đảng là gì?,"Toàn dân, toàn diện, trường kỳ, tự lực cánh sinh",Đánh nhanh thắng nhanh,Chỉ dựa vào viện trợ quốc tế,Phòng thủ bị động,A,medium
46,Chiến thắng Điện Biên Phủ diễn ra vào năm nào?,1945,1950,1954,1968,C,easy
46,Hiệp định Giơnevơ được ký kết vào năm nào?,1945,1954,1973,1975,B,easy
46,"Sau Hiệp định Giơnevơ, Việt Nam tạm thời bị chia cắt ở vĩ tuyến nào?",Vĩ tuyến 16,Vĩ tuyến 17,Vĩ tuyến 18,Vĩ tuyến 20,B,medium
46,Đại hội III của Đảng (1960) xác định nhiệm vụ chiến lược nào?,Xây dựng CNXH ở miền Bắc và giải phóng miền Nam,Chỉ xây dựng CNXH ở miền Bắc,Chỉ đấu tranh chính trị ở miền Nam,Thống nhất bằng con đường ngoại giao,A,medium
46,Mặt trận Dân tộc Giải phóng miền Nam Việt Nam thành lập năm nào?,1954,1960,1968,1973,B,medium
46,Cuộc Tổng tiến công và nổi dậy Tết Mậu Thân diễn ra năm nào?,1965,1968,1972,1975,B,easy
46,Hiệp định Paris về chấm dứt chiến tranh ở Việt Nam được ký năm nào?,1968,1972,1973,1975,C,easy
46,Chiến dịch Hồ Chí Minh kết thúc thắng lợi vào ngày nào?,30/4/1975,2/9/1975,7/5/1975,19/5/1975,A,easy
46,Đất nước Việt Nam thống nhất về mặt nhà nước vào năm nào?,1975,1976,1980,1986,B,medium
46,Đại hội VI của Đảng (1986) có ý nghĩa lịch sử gì?,Khởi xướng công cuộc đổi mới toàn diện đất nước,Quyết định thống nhất đất nước,Phát động kháng chiến chống Mỹ,Thành lập Mặt trận Việt Minh,A,easy
46,Bài học lớn được Đại hội VI rút ra là gì?,"Phải nhìn thẳng vào sự thật, đánh giá đúng sự thật, nói rõ sự thật",Phải đẩy nhanh tốc độ tăng trưởng,Phải mở rộng quan hệ quốc tế,Phải tăng cường quốc phòng,A,medium
46,Nội dung cốt lõi của đường lối đổi mới là gì?,"Đổi mới kinh tế là trọng tâm, từng bước đổi mới chính trị phù hợp",Đổi mới chính trị trước tiên,Đổi mới đồng loạt mọi lĩnh vực ngay lập tức,Chỉ đổi mới trong nông nghiệp,A,medium
46,Chính sách khoán 10 trong nông nghiệp được ban hành năm nào?,1981,1986,1988,1993,C,hard
46,Cương lĩnh xây dựng đất nước trong thời kỳ quá độ được thông qua tại Đại hội nào?,Đại hội VI (1986),Đại hội VII (1991),Đại hội VIII (1996),Đại hội IX (2001),B,medium
46,Việt Nam gia nhập ASEAN vào năm nào?,1991,1995,1998,2007,B,medium
46,Việt Nam bình thường hóa quan hệ với Hoa Kỳ vào năm nào?,1986,1991,1995,2000,C,medium
