subject_id,content,A,B,C,D,correct,difficulty
44,Chủ nghĩa xã hội khoa học do ai sáng lập?,C. Mác và Ph. Ăngghen,V.I. Lênin,Hồ Chí Minh,Xanh Ximông và Phurie,A,easy
44,Tác phẩm nào đánh dấu sự ra đời của chủ nghĩa xã hội khoa học?,Tuyên ngôn của Đảng Cộng sản,Tư bản,Nhà nước và cách mạng,Chống Đuyrinh,A,easy
44,Tuyên ngôn của Đảng Cộng sản ra đời năm nào?,1844,1848,1867,1871,B,easy
44,Hai phát kiến vĩ đại của Mác là gì?,Chủ nghĩa duy vật lịch sử và học thuyết giá trị thặng dư,Thuyết tiến hóa và thuyết tế bào,Định luật bảo toàn năng lượng và thuyết nguyên tử,Phép biện chứng và logic hình thức,A,medium
44,Sứ mệnh lịch sử của giai cấp công nhân là gì?,"Xóa bỏ chủ nghĩa tư bản, xây dựng chủ nghĩa xã hội và cộng sản chủ nghĩa",Giành lấy quyền sở hữu tư liệu sản xuất cho riêng mình,Phát triển kinh tế tư nhân,Duy trì trật tự xã hội hiện có,A,medium
44,Vì sao giai cấp công nhân có sứ mệnh lịch sử đó?,Do địa vị kinh tế - xã hội khách quan quy định,Do đông về số lượng,Do được giáo dục tốt nhất,Do có nhiều của cải,A,medium
44,Đặc điểm nào thuộc về giai cấp công nhân hiện đại?,Gắn với nền sản xuất công nghiệp và có tính tổ chức kỷ luật cao,Sở hữu tư liệu sản xuất chủ yếu,Chủ yếu làm nông nghiệp,Không tham gia sản xuất vật chất,A,medium
44,Điều kiện chủ quan để giai cấp công nhân thực hiện sứ mệnh lịch sử là gì?,Sự trưởng thành về ý thức và có chính đảng lãnh đạo,Số lượng công nhân đông đảo,Nền kinh tế phát triển cao,Sự ủng hộ của quốc tế,A,hard
44,Cách mạng xã hội chủ nghĩa có nguyên nhân sâu xa từ đâu?,Mâu thuẫn giữa lực lượng sản xuất và quan hệ sản xuất tư bản chủ nghĩa,Ý chí của lãnh tụ cách mạng,Thiên tai và dịch bệnh,Sự can thiệp từ bên ngoài,A,medium
44,Hình thái kinh tế - xã hội cộng sản chủ nghĩa gồm mấy giai đoạn?,Hai giai đoạn,Ba giai đoạn,Bốn giai đoạn,Một giai đoạn duy nhất,A,medium
44,Giai đoạn thấp của hình thái cộng sản chủ nghĩa được gọi là gì?,Chủ nghĩa xã hội,Chủ nghĩa cộng sản,Chủ nghĩa tư bản nhà nước,Thời kỳ quá độ,A,easy
44,Nguyên tắc phân phối chủ yếu trong chủ nghĩa xã hội là gì?,Phân phối theo lao động,Phân phối theo nhu cầu,Phân phối bình quân,Phân phối theo vốn góp,A,medium
44,Nguyên tắc phân phối trong xã hội cộng sản chủ nghĩa là gì?,"Làm theo năng lực, hưởng theo nhu cầu","Làm theo năng lực, hưởng theo lao động",Phân phối đều cho mọi người,Phân phối theo chức vụ,A,medium
44,Thời kỳ quá độ lên chủ nghĩa xã hội là gì?,Thời kỳ cải biến cách mạng từ xã hội cũ sang xã hội mới,Thời kỳ khủng hoảng kinh tế,Thời kỳ chiến tranh,Giai đoạn cuối của chủ nghĩa tư bản,A,medium
44,Đặc điểm nổi bật của thời kỳ quá độ là gì?,Tồn tại đan xen nhiều thành phần kinh tế và nhiều yếu tố xã hội cũ mới,Chỉ còn một thành phần kinh tế,Không còn giai cấp,Kinh tế phát triển đồng đều,A,medium
44,Việt Nam quá độ lên chủ nghĩa xã hội theo hình thức nào?,Bỏ qua chế độ tư bản chủ nghĩa,Trải qua đầy đủ chế độ tư bản chủ nghĩa,Quay lại chế độ phong kiến,Không qua thời kỳ quá độ,A,medium
44,Dân chủ xã hội chủ nghĩa có bản chất giai cấp nào?,Giai cấp công nhân,Giai cấp tư sản,Giai cấp địa chủ,Không mang bản chất giai cấp,A,medium
44,Nhà nước xã hội chủ nghĩa có chức năng cơ bản nào?,Tổ chức xây dựng kinh tế - xã hội và trấn áp sự phản kháng của kẻ thù,Chỉ có chức năng trấn áp,Chỉ có chức năng đối ngoại,Không có chức năng kinh tế,A,medium
44,Nhà nước pháp quyền xã hội chủ nghĩa Việt Nam là của ai?,"Của nhân dân, do nhân dân, vì nhân dân",Của giai cấp tư sản,Của tầng lớp trí thức,Của các doanh nghiệp,A,easy
44,Cơ cấu xã hội - giai cấp trong thời kỳ quá độ ở Việt Nam gồm những lực lượng nào?,"Công nhân, nông dân, trí thức và các tầng lớp khác",Chỉ có công nhân,Chỉ có nông dân,Chỉ có doanh nhân,A,easy
44,Liên minh giai cấp nào là nền tảng của khối đại đoàn kết dân tộc ở Việt Nam?,Công nhân - nông dân - trí thức,Tư sản - địa chủ,Trí thức - doanh nhân,Công nhân - tư sản,A,easy
44,Vấn đề dân tộc theo quan điểm mácxít cần giải quyết theo nguyên tắc nào?,"Bình đẳng, đoàn kết, tôn trọng và giúp nhau cùng phát triển",Đồng hóa các dân tộc thiểu số,Tách biệt hoàn toàn các dân tộc,Ưu tiên tuyệt đối một dân tộc,A,medium
44,Cương lĩnh dân tộc của Lênin gồm những nội dung nào?,"Các dân tộc hoàn toàn bình đẳng, được quyền tự quyết và liên hiệp công nhân các dân tộc",Các dân tộc phải hợp nhất thành một,Dân tộc lớn lãnh đạo dân tộc nhỏ,Mỗi dân tộc phát triển biệt lập,A,hard
44,Quan điểm của chủ nghĩa Mác - Lênin về tôn giáo trong CNXH là gì?,Tôn trọng và bảo đảm quyền tự do tín ngưỡng của nhân dân,Cấm mọi hoạt động tôn giáo,Bắt buộc mọi người theo một tôn giáo,Không quan tâm đến tôn giáo,A,medium
44,Nguồn gốc của tôn giáo theo chủ nghĩa Mác - Lênin bao gồm gì?,"Nguồn gốc kinh tế - xã hội, nhận thức và tâm lý",Chỉ do thần linh tạo ra,Chỉ do trình độ học vấn thấp,Chỉ do yếu tố di truyền,A,medium
44,Gia đình có chức năng cơ bản nào?,"Tái sản xuất con người, kinh tế, giáo dục và thỏa mãn nhu cầu tâm sinh lý",Chỉ có chức năng kinh tế,Chỉ có chức năng sinh con,Không có chức năng xã hội,A,easy
44,Cơ sở kinh tế của gia đình trong chủ nghĩa xã hội là gì?,Chế độ công hữu về tư liệu sản xuất chủ yếu,Chế độ tư hữu tuyệt đối,Chế độ nô lệ,Kinh tế tự nhiên,A,medium
44,Mục tiêu cao nhất của chủ nghĩa xã hội là gì?,"Giải phóng con người, phát triển toàn diện con người",Tăng trưởng kinh tế bằng mọi giá,Mở rộng lãnh thổ,Tích lũy của cải cho nhà nước,A,medium
44,Đặc trưng nào thể hiện bản chất của xã hội xã hội chủ nghĩa mà Việt Nam xây dựng?,"Dân giàu, nước mạnh, dân chủ, công bằng, văn minh",Kinh tế tự cung tự cấp,Nhà nước sở hữu toàn bộ tài sản,Xóa bỏ mọi hình thức thị trường,A,easy
44,Nền dân chủ xã hội chủ nghĩa khác dân chủ tư sản ở điểm căn bản nào?,Quyền lực thực sự thuộc về nhân dân lao động,Có bầu cử định kỳ,Có hiến pháp thành văn,Có nhiều đảng phái,A,hard
