subject_id,content,A,B,C,D,correct,difficulty
45,Tư tưởng Hồ Chí Minh là gì?,Hệ thống quan điểm toàn diện và sâu sắc về những vấn đề cơ bản của cách mạng Việt Nam,Một tác phẩm văn học,Một học thuyết kinh tế,Một trường phái triết học phương Tây,A,easy
45,Nguồn gốc lý luận quan trọng nhất hình thành tư tưởng Hồ Chí Minh là gì?,Chủ nghĩa Mác - Lênin,Nho giáo,Phật giáo,Tư tưởng dân chủ tư sản Pháp,A,easy
45,Nguyễn Ái Quốc ra đi tìm đường cứu nước vào năm nào?,1905,1911,1920,1930,B,easy
45,Nguyễn Ái Quốc đọc Sơ thảo Luận cương của Lênin vào năm nào?,1917,1919,1920,1925,C,medium
45,Đảng Cộng sản Việt Nam được thành lập vào thời gian nào?,Ngày 3/2/1930,Ngày 19/8/1945,Ngày 2/9/1945,Ngày 7/5/1954,A,easy
45,"Theo Hồ Chí Minh, cách mạng giải phóng dân tộc muốn thắng lợi phải đi theo con đường nào?",Con đường cách mạng vô sản,Con đường cách mạng tư sản,Con đường cải lương,Con đường bạo động đơn thuần,A,medium
45,"Theo Hồ Chí Minh, lực lượng của cách mạng giải phóng dân tộc là ai?","Toàn dân tộc, nòng cốt là công nông",Chỉ giai cấp công nhân,Chỉ tầng lớp trí thức,Chỉ lực lượng vũ trang,A,medium
45,Luận điểm sáng tạo của Hồ Chí Minh về quan hệ giữa cách mạng thuộc địa và cách mạng chính quốc là gì?,Cách mạng thuộc địa có thể nổ ra và giành thắng lợi trước,Phải chờ cách mạng chính quốc thắng lợi trước,Hai cuộc cách mạng không liên quan,Cách mạng thuộc địa không thể thắng lợi,A,hard
45,"Theo Hồ Chí Minh, độc lập dân tộc phải gắn liền với điều gì?",Chủ nghĩa xã hội,Chế độ quân chủ,Chủ nghĩa tư bản,Chế độ đa đảng,A,medium
45,"Câu nói Không có gì quý hơn độc lập, tự do được Hồ Chí Minh nêu ra năm nào?",1945,1954,1966,1969,C,medium
45,Bản Tuyên ngôn Độc lập được Hồ Chí Minh đọc vào ngày nào?,19/8/1945,2/9/1945,6/1/1946,19/12/1946,B,easy
45,"Theo Hồ Chí Minh, đặc trưng bản chất nhất của chủ nghĩa xã hội là gì?",Do nhân dân lao động làm chủ,Có nền công nghiệp hiện đại,Có quân đội mạnh,Có nhiều tài nguyên,A,medium
45,"Theo Hồ Chí Minh, mục tiêu của chủ nghĩa xã hội là gì?",Nâng cao đời sống vật chất và tinh thần của nhân dân,Tăng ngân sách nhà nước,Mở rộng ảnh hưởng quốc tế,Xây dựng nhiều công trình lớn,A,easy
45,"Theo Hồ Chí Minh, động lực quan trọng nhất của chủ nghĩa xã hội là gì?",Con người,Vốn đầu tư,Tài nguyên,Công nghệ nhập khẩu,A,medium
45,Hồ Chí Minh xác định Đảng Cộng sản Việt Nam là đảng của ai?,"Của giai cấp công nhân, của nhân dân lao động và của dân tộc Việt Nam",Chỉ của giai cấp công nhân,Của tầng lớp trí thức,Của mọi giai cấp không phân biệt,A,medium
45,Nguyên tắc tổ chức cơ bản của Đảng theo Hồ Chí Minh là gì?,Tập trung dân chủ,Tự do tuyệt đối,Tập trung quan liêu,Phân quyền hoàn toàn,A,easy
45,"Theo Hồ Chí Minh, tự phê bình và phê bình có ý nghĩa gì?","Là quy luật phát triển của Đảng, giúp Đảng trong sạch vững mạnh",Là hình thức kỷ luật cán bộ,Chỉ áp dụng khi có sai phạm lớn,Không cần thiết trong thời bình,A,medium
45,Nhà nước theo tư tưởng Hồ Chí Minh mang bản chất gì?,"Nhà nước của dân, do dân, vì dân mang bản chất giai cấp công nhân",Nhà nước phi giai cấp,Nhà nước của giai cấp tư sản,Nhà nước quân chủ lập hiến,A,medium
45,"Theo Hồ Chí Minh, gốc của người cách mạng là gì?",Đạo đức,Tài năng,Học vấn,Quan hệ xã hội,A,easy
45,Phẩm chất đạo đức cơ bản nhất theo Hồ Chí Minh là gì?,"Trung với nước, hiếu với dân",Cần kiệm liêm chính,Yêu thương con người,Tinh thần quốc tế trong sáng,A,medium
45,"Cần, kiệm, liêm, chính, chí công vô tư là nội dung thuộc lĩnh vực nào?",Đạo đức cách mạng,Kinh tế chính trị,Quân sự,Ngoại giao,A,easy
45,"Theo Hồ Chí Minh, Liêm có nghĩa là gì?","Trong sạch, không tham lam",Siêng năng chăm chỉ,Tiết kiệm không lãng phí,Ngay thẳng đúng đắn,A,medium
45,"Theo Hồ Chí Minh, Chính có nghĩa là gì?","Thẳng thắn, đứng đắn với mình, với người và với việc",Chăm chỉ làm việc,Không tham ô,Tiết kiệm của công,A,medium
45,Ba nguyên tắc xây dựng đạo đức mới theo Hồ Chí Minh là gì?,"Nói đi đôi với làm, xây đi đôi với chống, tu dưỡng suốt đời","Học tập, lao động, chiến đấu","Đoàn kết, kỷ luật, sáng tạo","Cần, kiệm, liêm",A,hard
45,"Theo Hồ Chí Minh, đại đoàn kết dân tộc là gì?","Vấn đề chiến lược, quyết định thành công của cách mạng",Sách lược tạm thời,Chỉ áp dụng trong chiến tranh,Công việc riêng của Mặt trận,A,medium
45,Nền tảng của khối đại đoàn kết dân tộc theo Hồ Chí Minh là gì?,Liên minh công - nông - trí thức,Tầng lớp doanh nhân,Đội ngũ quân đội,Người Việt Nam ở nước ngoài,A,medium
45,Hình thức tổ chức của khối đại đoàn kết dân tộc là gì?,Mặt trận dân tộc thống nhất,Công đoàn,Hợp tác xã,Hội đồng nhân dân,A,easy
45,"Theo Hồ Chí Minh, đoàn kết quốc tế nhằm mục đích gì?",Kết hợp sức mạnh dân tộc với sức mạnh thời đại,Phụ thuộc vào nước lớn,Can thiệp vào công việc nước khác,Mở rộng lãnh thổ,A,medium
45,Nguyên tắc trong quan hệ đối ngoại theo Hồ Chí Minh là gì?,"Độc lập tự chủ, tự lực tự cường gắn với hợp tác quốc tế",Hoàn toàn dựa vào bên ngoài,Đóng cửa không giao thiệp,Liên minh quân sự với nước lớn,A,medium
45,"Theo Hồ Chí Minh, văn hóa có vai trò gì?",Soi đường cho quốc dân đi,Chỉ để giải trí,Không liên quan đến chính trị,Chỉ phục vụ tầng lớp trên,A,medium
