subject_id,content,A,B,C,D,correct,difficulty
61,Cơ sở dữ liệu là gì?,"Tập hợp dữ liệu có tổ chức, lưu trữ và truy xuất theo yêu cầu",Một phần mềm soạn thảo,Một loại phần cứng,Một ngôn ngữ lập trình,A,easy
61,Hệ quản trị cơ sở dữ liệu (DBMS) có chức năng gì?,"Quản lý việc lưu trữ, truy xuất và bảo mật dữ liệu",Thiết kế giao diện,Biên dịch chương trình,Kết nối mạng,A,easy
61,Mô hình dữ liệu phổ biến nhất hiện nay là gì?,Mô hình quan hệ,Mô hình phân cấp,Mô hình mạng,Mô hình đối tượng,A,easy
61,"Trong mô hình quan hệ, bảng còn được gọi là gì?",Quan hệ,Thực thể,Thuộc tính,Miền giá trị,A,medium
61,Khóa chính (Primary Key) có đặc điểm gì?,Xác định duy nhất mỗi bản ghi và không được rỗng,Có thể trùng lặp,Luôn là kiểu số,Có thể để trống,A,easy
61,Khóa ngoại (Foreign Key) dùng để làm gì?,Liên kết dữ liệu giữa hai bảng,Xác định duy nhất bản ghi,Tăng tốc truy vấn,Mã hóa dữ liệu,A,easy
61,Câu lệnh SQL nào dùng để truy vấn dữ liệu?,SELECT,INSERT,UPDATE,DELETE,A,easy
61,Câu lệnh nào dùng để thêm bản ghi mới?,INSERT INTO,SELECT,UPDATE,ALTER,A,easy
61,Câu lệnh nào dùng để sửa dữ liệu đã có?,UPDATE,INSERT,SELECT,CREATE,A,easy
61,Mệnh đề WHERE trong SQL dùng để làm gì?,Lọc bản ghi theo điều kiện,Sắp xếp kết quả,Nhóm dữ liệu,Nối bảng,A,easy
61,Mệnh đề ORDER BY dùng để làm gì?,Sắp xếp kết quả truy vấn,Lọc dữ liệu,Nhóm dữ liệu,Đếm bản ghi,A,easy
61,Mệnh đề GROUP BY dùng để làm gì?,Nhóm các bản ghi có cùng giá trị để tính toán tổng hợp,Sắp xếp dữ liệu,Lọc bản ghi,Xóa dữ liệu trùng,A,medium
61,Mệnh đề HAVING khác WHERE ở điểm nào?,"HAVING lọc sau khi nhóm, WHERE lọc trước khi nhóm",Không có khác biệt,HAVING nhanh hơn,WHERE chỉ dùng với GROUP BY,A,hard
61,Hàm COUNT() trong SQL trả về gì?,Số lượng bản ghi,Tổng giá trị,Giá trị lớn nhất,Giá trị trung bình,A,easy
61,Hàm SUM() dùng để làm gì?,Tính tổng các giá trị số,Đếm bản ghi,Tìm giá trị lớn nhất,Nối chuỗi,A,easy
61,INNER JOIN trả về kết quả gì?,Các bản ghi khớp ở cả hai bảng,Tất cả bản ghi của bảng trái,Tất cả bản ghi của bảng phải,Toàn bộ bản ghi hai bảng,A,medium
