subject_id,content,A,B,C,D,correct,difficulty
47,Quốc phòng toàn dân là gì?,Sức mạnh quốc phòng của đất nước được xây dựng trên nền tảng toàn dân,Chỉ do quân đội đảm nhiệm,Do lực lượng công an thực hiện,Do các doanh nghiệp quốc phòng lo,A,easy
47,Lực lượng vũ trang nhân dân Việt Nam gồm những thành phần nào?,"Quân đội nhân dân, Công an nhân dân và Dân quân tự vệ",Chỉ Quân đội nhân dân,Quân đội và cảnh sát biển,Quân đội và lực lượng dự bị,A,easy
47,Quân đội nhân dân Việt Nam được thành lập ngày nào?,22/12/1944,19/8/1945,2/9/1945,7/5/1954,A,easy
47,Chức năng của Quân đội nhân dân Việt Nam là gì?,"Đội quân chiến đấu, đội quân công tác và đội quân lao động sản xuất",Chỉ chiến đấu bảo vệ Tổ quốc,Chỉ làm kinh tế,Chỉ giữ gìn trật tự xã hội,A,medium
47,Nguyên tắc lãnh đạo của Đảng đối với Quân đội là gì?,"Tuyệt đối, trực tiếp về mọi mặt",Gián tiếp thông qua Chính phủ,Chỉ về mặt chính trị,Phân cấp cho địa phương,A,medium
47,Chiến tranh nhân dân bảo vệ Tổ quốc có tính chất gì?,"Toàn dân, toàn diện, chính nghĩa và tự vệ",Chỉ dựa vào quân chủ lực,Mang tính tiến công xâm lược,Chỉ diễn ra trên bộ,A,medium
47,Thế trận chiến tranh nhân dân được xây dựng như thế nào?,"Rộng khắp cả nước, có trọng tâm trọng điểm",Chỉ tập trung ở biên giới,Chỉ ở các thành phố lớn,Chỉ ở vùng biển đảo,A,medium
47,"Khu vực phòng thủ tỉnh, thành phố có vai trò gì?",Là bộ phận hợp thành thế trận quốc phòng toàn dân ở địa phương,Chỉ là nơi đóng quân,Chỉ để huấn luyện,Chỉ hoạt động khi có chiến tranh,A,medium
47,Nghĩa vụ quân sự là gì?,Nghĩa vụ vẻ vang của công dân phục vụ trong Quân đội nhân dân,Quyền tự nguyện của công dân,Nghĩa vụ chỉ của nam giới trên 25 tuổi,Công việc có trả lương như lao động thường,A,easy
47,Độ tuổi gọi nhập ngũ trong thời bình là bao nhiêu?,Từ đủ 18 tuổi đến hết 25 tuổi,Từ đủ 16 đến 20 tuổi,Từ đủ 20 đến 30 tuổi,Từ đủ 21 đến 27 tuổi,A,medium
47,"Thời hạn phục vụ tại ngũ trong thời bình của hạ sĩ quan, binh sĩ là bao lâu?",18 tháng,24 tháng,30 tháng,36 tháng,B,medium
47,Dân quân tự vệ là lực lượng gì?,"Lực lượng vũ trang quần chúng không thoát ly sản xuất, công tác",Lực lượng quân đội chính quy,Lực lượng cảnh sát cơ động,Lực lượng bảo vệ dân phố,A,medium
47,Chủ quyền lãnh thổ quốc gia bao gồm những bộ phận nào?,"Vùng đất, vùng nước, vùng trời và lòng đất",Chỉ vùng đất liền,Chỉ vùng biển,Vùng đất và vùng biển,A,medium
47,Lãnh hải của Việt Nam rộng bao nhiêu hải lý tính từ đường cơ sở?,12 hải lý,24 hải lý,200 hải lý,350 hải lý,A,medium
47,Vùng đặc quyền kinh tế của Việt Nam rộng bao nhiêu hải lý?,12 hải lý,24 hải lý,200 hải lý,300 hải lý,C,medium
47,Vùng tiếp giáp lãnh hải rộng bao nhiêu hải lý tính từ đường cơ sở?,12 hải lý,24 hải lý,50 hải lý,200 hải lý,B,hard
47,Hai quần đảo lớn thuộc chủ quyền Việt Nam trên Biển Đông là gì?,Hoàng Sa và Trường Sa,Phú Quốc và Côn Đảo,Cát Bà và Bạch Long Vĩ,Lý Sơn và Phú Quý,A,easy
47,Công ước quốc tế nào là cơ sở pháp lý về biển mà Việt Nam là thành viên?,Công ước Luật Biển năm 1982 (UNCLOS),Công ước Geneva 1949,Hiến chương ASEAN,Công ước Viên 1969,A,medium
47,Bảo vệ Tổ quốc Việt Nam xã hội chủ nghĩa bao gồm những nội dung nào?,"Bảo vệ độc lập chủ quyền, chế độ, Đảng, Nhà nước và nhân dân",Chỉ bảo vệ biên giới,Chỉ chống xâm lược từ bên ngoài,Chỉ giữ gìn an ninh trật tự,A,medium
47,Diễn biến hòa bình là gì?,Chiến lược chống phá bằng biện pháp phi vũ trang trên nhiều lĩnh vực,Một cuộc chiến tranh cục bộ,Quá trình đàm phán hòa bình,Chính sách ngoại giao mềm dẻo,A,medium
47,Bạo loạn lật đổ thường được tiến hành bằng cách nào?,"Kích động quần chúng gây rối, dùng bạo lực chống chính quyền",Đàm phán chính trị,Bầu cử dân chủ,Vận động hành lang quốc tế,A,medium
47,Biện pháp phòng chống diễn biến hòa bình hiệu quả nhất là gì?,"Xây dựng đất nước vững mạnh toàn diện, giữ vững lòng dân",Đóng cửa biên giới,Cấm mọi thông tin nước ngoài,Tăng cường vũ khí hiện đại,A,medium
47,An ninh quốc gia là gì?,"Sự ổn định, phát triển bền vững của chế độ và Nhà nước, bất khả xâm phạm của Tổ quốc",Chỉ là trật tự an toàn xã hội,Chỉ liên quan đến quân sự,Chỉ là an ninh kinh tế,A,medium
47,Nền quốc phòng toàn dân và an ninh nhân dân có quan hệ thế nào?,"Gắn bó chặt chẽ, kết hợp với nhau trong bảo vệ Tổ quốc",Hoàn toàn tách biệt,Đối lập nhau,Không liên quan,A,easy
47,Kết hợp kinh tế với quốc phòng nhằm mục đích gì?,Phát triển kinh tế gắn với tăng cường tiềm lực quốc phòng,Chỉ phát triển công nghiệp quân sự,Giảm chi tiêu quốc phòng,Chuyển quân đội sang làm kinh tế,A,medium
47,Đường lối đối ngoại quốc phòng của Việt Nam theo phương châm nào?,"Bốn không: không liên minh quân sự, không theo nước này chống nước kia, không cho đặt căn cứ quân sự, không dùng vũ lực trước",Liên minh với các cường quốc,Trung lập tuyệt đối,Đóng cửa hoàn toàn,A,hard
47,Vũ khí công nghệ cao có đặc điểm gì?,"Độ chính xác cao, uy lực lớn, tầm xa và khả năng tự động hóa",Giá thành rẻ,Dễ chế tạo,Không cần điều khiển,A,easy
47,Biện pháp phòng chống vũ khí công nghệ cao là gì?,"Ngụy trang, nghi binh, phân tán và cơ động",Tập trung lực lượng một chỗ,Đứng yên tại chỗ,Chỉ dùng vũ khí hiện đại đối kháng,A,medium
47,Ba loại hình tác chiến cơ bản trong nghệ thuật quân sự Việt Nam là gì?,"Tiến công, phòng ngự và phản công","Bao vây, cô lập và tiêu diệt","Tấn công, rút lui và cố thủ","Đánh nhanh, đánh chắc và đánh dài",A,medium
47,Tư tưởng chỉ đạo tác chiến của Việt Nam là gì?,"Lấy nhỏ thắng lớn, lấy ít địch nhiều, lấy chất lượng cao thắng số lượng đông",Dùng số đông áp đảo,Chỉ phòng thủ bị động,Dựa hoàn toàn vào vũ khí hiện đại,A,medium
