subject_id,content,A,B,C,D,correct,difficulty
48,Nhà nước có đặc trưng cơ bản nào sau đây?,Có quyền lực công cộng đặc biệt và chủ quyền quốc gia,Do một cá nhân sở hữu,Không cần bộ máy cưỡng chế,Không có lãnh thổ xác định,A,easy
48,Pháp luật là gì?,Hệ thống quy tắc xử sự chung do Nhà nước ban hành và bảo đảm thực hiện,Các quy ước của làng xã,Quy định nội bộ của doanh nghiệp,Chuẩn mực đạo đức xã hội,A,easy
48,Thuộc tính nào sau đây là của pháp luật?,"Tính quy phạm phổ biến, tính xác định chặt chẽ về hình thức, tính cưỡng chế",Tính tự nguyện tuyệt đối,Tính địa phương,Tính tạm thời,A,medium
48,Văn bản quy phạm pháp luật nào có hiệu lực pháp lý cao nhất ở Việt Nam?,Hiến pháp,Luật,Nghị định,Thông tư,A,easy
48,Cơ quan nào có quyền ban hành Hiến pháp và luật ở Việt Nam?,Quốc hội,Chính phủ,Tòa án nhân dân tối cao,Chủ tịch nước,A,easy
48,Chính phủ ban hành loại văn bản nào?,Nghị định,Luật,Hiến pháp,Nghị quyết của Quốc hội,A,easy
48,Quan hệ pháp luật gồm những thành phần nào?,"Chủ thể, khách thể và nội dung",Nguyên đơn và bị đơn,Quyền và nghĩa vụ,Hành vi và hậu quả,A,medium
48,Năng lực pháp luật của cá nhân có từ khi nào?,Từ khi sinh ra,Từ khi đủ 6 tuổi,Từ khi đủ 18 tuổi,Từ khi có việc làm,A,medium
48,Năng lực hành vi dân sự đầy đủ của cá nhân có từ bao nhiêu tuổi?,Đủ 15 tuổi,Đủ 16 tuổi,Đủ 18 tuổi,Đủ 21 tuổi,C,easy
48,Vi phạm pháp luật có mấy dấu hiệu cơ bản?,Hai dấu hiệu,Ba dấu hiệu,Bốn dấu hiệu,Năm dấu hiệu,C,medium
48,Cấu thành vi phạm pháp luật gồm những yếu tố nào?,"Mặt khách quan, mặt chủ quan, chủ thể và khách thể",Nguyên nhân và kết quả,Hành vi và hình phạt,Lỗi và thiệt hại,A,medium
48,Lỗi trong vi phạm pháp luật được chia thành mấy loại chính?,Lỗi cố ý và lỗi vô ý,Lỗi nặng và lỗi nhẹ,Lỗi cá nhân và lỗi tập thể,Lỗi trực tiếp và lỗi gián tiếp,A,easy
48,Trách nhiệm pháp lý nào nghiêm khắc nhất?,Trách nhiệm hình sự,Trách nhiệm hành chính,Trách nhiệm dân sự,Trách nhiệm kỷ luật,A,easy
48,Tội phạm theo Bộ luật Hình sự Việt Nam là gì?,Hành vi nguy hiểm cho xã hội được quy định trong Bộ luật Hình sự,Mọi hành vi trái đạo đức,Hành vi vi phạm hợp đồng,Hành vi gây thiệt hại tài sản,A,medium
48,Tuổi chịu trách nhiệm hình sự đầy đủ theo pháp luật Việt Nam là bao nhiêu?,Từ đủ 14 tuổi,Từ đủ 16 tuổi,Từ đủ 18 tuổi,Từ đủ 20 tuổi,B,medium
48,Hình phạt nào là hình phạt chính trong luật hình sự?,Tù có thời hạn,Cấm cư trú,Tịch thu tài sản,Quản chế,A,medium
48,Nguyên tắc suy đoán vô tội có nội dung gì?,Người bị buộc tội được coi là không có tội cho đến khi có bản án kết tội có hiệu lực,Người bị bắt là có tội,Tòa án phải xử theo dư luận,Bị cáo phải tự chứng minh mình vô tội,A,medium
48,Quan hệ dân sự dựa trên nguyên tắc nào?,"Bình đẳng, tự nguyện, thiện chí, trung thực",Mệnh lệnh phục tùng,Ưu tiên bên có tài sản lớn,Do cơ quan nhà nước quyết định,A,easy
48,Hợp đồng dân sự là gì?,"Sự thỏa thuận giữa các bên về xác lập, thay đổi, chấm dứt quyền và nghĩa vụ",Mệnh lệnh của cơ quan nhà nước,Bản cam kết một chiều,Quy định nội bộ tổ chức,A,easy
48,Điều kiện nào làm hợp đồng vô hiệu?,Vi phạm điều cấm của luật hoặc trái đạo đức xã hội,Có nhiều điều khoản,Được lập bằng văn bản,Có người làm chứng,A,medium
48,Quyền sở hữu bao gồm những quyền năng nào?,"Chiếm hữu, sử dụng và định đoạt","Mua, bán và cho thuê",Quản lý và bảo vệ,Cầm cố và thế chấp,A,easy
48,Thừa kế theo pháp luật được áp dụng khi nào?,Khi không có di chúc hoặc di chúc không hợp pháp,Khi có di chúc rõ ràng,Khi người chết còn nợ,Khi có tranh chấp tài sản,A,medium
48,Hàng thừa kế thứ nhất gồm những ai?,"Vợ chồng, cha mẹ đẻ, cha mẹ nuôi, con đẻ, con nuôi","Ông bà, anh chị em ruột",Cô dì chú bác,Cháu ruột,A,medium
48,Độ tuổi kết hôn theo Luật Hôn nhân và Gia đình Việt Nam là bao nhiêu?,"Nam từ đủ 20, nữ từ đủ 18","Nam từ đủ 18, nữ từ đủ 16",Cả hai từ đủ 18,Cả hai từ đủ 20,A,easy
48,Hành vi nào bị cấm trong hôn nhân?,"Kết hôn giả tạo, tảo hôn, cưỡng ép kết hôn",Kết hôn khác tôn giáo,Kết hôn với người nước ngoài,Kết hôn muộn,A,easy
48,Vi phạm hành chính khác tội phạm ở điểm nào?,Mức độ nguy hiểm cho xã hội thấp hơn,Không có lỗi,Không bị xử lý,Chỉ do tổ chức thực hiện,A,medium
48,Hình thức xử phạt chính trong xử lý vi phạm hành chính là gì?,Cảnh cáo và phạt tiền,Tù giam,Tử hình,Cải tạo không giam giữ,A,easy
48,Hợp đồng lao động phải có nội dung chủ yếu nào?,"Công việc, địa điểm, thời hạn, tiền lương và điều kiện làm việc",Chỉ cần tiền lương,Chỉ cần thời hạn,Chỉ cần chữ ký hai bên,A,easy
48,Thời giờ làm việc bình thường theo Bộ luật Lao động là bao nhiêu?,Không quá 8 giờ/ngày và 48 giờ/tuần,Không quá 10 giờ/ngày,Không quá 6 giờ/ngày,Không giới hạn,A,easy
48,Người lao động có quyền đơn phương chấm dứt hợp đồng khi nào?,Khi báo trước theo đúng thời hạn luật định,Bất cứ lúc nào không cần báo,Chỉ khi được người sử dụng lao động đồng ý,Không bao giờ được phép,A,medium
