subject_id,content,A,B,C,D,correct,difficulty
43,Đối tượng nghiên cứu của kinh tế chính trị Mác - Lênin là gì?,Quan hệ sản xuất trong mối liên hệ với lực lượng sản xuất và kiến trúc thượng tầng,Cách thức kinh doanh của doanh nghiệp,Chính sách tiền tệ của ngân hàng,Hành vi tiêu dùng cá nhân,A,medium
43,Hàng hóa có mấy thuộc tính cơ bản?,Một thuộc tính,Hai thuộc tính,Ba thuộc tính,Bốn thuộc tính,B,easy
43,Hai thuộc tính của hàng hóa là gì?,Giá trị sử dụng và giá trị,Giá cả và số lượng,Chất lượng và mẫu mã,Cung và cầu,A,easy
43,Giá trị của hàng hóa được quyết định bởi yếu tố nào?,Lao động xã hội cần thiết kết tinh trong hàng hóa,Sở thích của người mua,Chi phí quảng cáo,Độ hiếm của hàng hóa,A,medium
43,Giá trị sử dụng của hàng hóa là gì?,Công dụng của vật phẩm thỏa mãn nhu cầu con người,Số tiền phải trả để mua,Thời gian sản xuất ra nó,Lợi nhuận thu được,A,easy
43,Lao động sản xuất hàng hóa có tính chất hai mặt nào?,Lao động cụ thể và lao động trừu tượng,Lao động chân tay và lao động trí óc,Lao động giản đơn và lao động phức tạp,Lao động cá nhân và lao động tập thể,A,medium
43,Lao động trừu tượng tạo ra cái gì của hàng hóa?,Giá trị sử dụng,Giá trị,Hình dáng bên ngoài,Thương hiệu,B,medium
43,Lượng giá trị hàng hóa được đo bằng gì?,Thời gian lao động xã hội cần thiết,Thời gian lao động cá biệt,Số lượng nguyên liệu tiêu hao,Giá bán trên thị trường,A,medium
43,Năng suất lao động tăng thì lượng giá trị một đơn vị hàng hóa thay đổi thế nào?,Tăng lên,Giảm xuống,Không đổi,Tăng gấp đôi,B,hard
43,Quy luật giá trị yêu cầu sản xuất và trao đổi hàng hóa dựa trên cơ sở nào?,Hao phí lao động xã hội cần thiết,Ý muốn của người bán,Quy định của nhà nước,Sự khan hiếm tự nhiên,A,medium
43,Tiền tệ có mấy chức năng cơ bản theo Mác?,Ba chức năng,Bốn chức năng,Năm chức năng,Sáu chức năng,C,medium
43,Chức năng nào là chức năng đầu tiên và cơ bản nhất của tiền?,Thước đo giá trị,Phương tiện lưu thông,Phương tiện cất trữ,Tiền tệ thế giới,A,medium
43,Công thức chung của tư bản là gì?,H - T - H,T - H - T',H - H,T - T,B,medium
43,Giá trị thặng dư là gì?,Phần giá trị dôi ra ngoài giá trị sức lao động do công nhân tạo ra,Lợi nhuận từ buôn bán chênh lệch giá,Tiền lãi ngân hàng,Thuế nhà nước thu được,A,medium
43,Sức lao động trở thành hàng hóa cần điều kiện gì?,Người lao động tự do về thân thể và không có tư liệu sản xuất,Người lao động có trình độ cao,Có nhiều nhà máy,Có hệ thống ngân hàng phát triển,A,hard
43,Hàng hóa sức lao động có đặc điểm gì đặc biệt?,Khi sử dụng tạo ra giá trị lớn hơn giá trị bản thân nó,Không có giá trị sử dụng,Không thể mua bán,Giá trị không thay đổi,A,hard
43,Tư bản bất biến là bộ phận tư bản dùng để làm gì?,"Mua tư liệu sản xuất, giá trị không thay đổi trong quá trình sản xuất",Trả lương cho công nhân,Đầu tư chứng khoán,Nộp thuế,A,medium
43,Tư bản khả biến là bộ phận tư bản dùng để làm gì?,Mua máy móc thiết bị,"Mua sức lao động, tạo ra giá trị thặng dư",Mua nguyên vật liệu,Trả tiền thuê đất,B,medium
43,Tỷ suất giá trị thặng dư phản ánh điều gì?,Trình độ bóc lột lao động làm thuê,Hiệu quả sử dụng vốn,Tốc độ chu chuyển tư bản,Quy mô doanh nghiệp,A,medium
43,Giá trị thặng dư tuyệt đối thu được bằng cách nào?,Kéo dài ngày lao động hoặc tăng cường độ lao động,Tăng năng suất lao động xã hội,Giảm giá nguyên liệu,Mở rộng thị trường,A,medium
43,Giá trị thặng dư tương đối thu được bằng cách nào?,Rút ngắn thời gian lao động tất yếu nhờ tăng năng suất lao động,Kéo dài ngày lao động,Tăng số lượng công nhân,Giảm lương trực tiếp,A,hard
43,Tích lũy tư bản là gì?,Chuyển hóa một phần giá trị thặng dư thành tư bản phụ thêm,Cất giữ tiền trong két,Vay vốn ngân hàng,Bán bớt tài sản,A,medium
43,Cấu tạo hữu cơ của tư bản là gì?,Tỷ lệ giữa tư bản bất biến và tư bản khả biến phản ánh cấu tạo kỹ thuật,Tỷ lệ giữa vốn và nợ,Tỷ lệ lợi nhuận trên doanh thu,Cơ cấu ngành nghề,A,hard
43,Tuần hoàn của tư bản trải qua mấy giai đoạn?,Hai giai đoạn,Ba giai đoạn,Bốn giai đoạn,Năm giai đoạn,B,medium
