subject_id,content,A,B,C,D,correct,difficulty
62,Mô hình OSI có bao nhiêu tầng?,5 tầng,6 tầng,7 tầng,4 tầng,C,easy
62,Tầng nào trong mô hình OSI chịu trách nhiệm định tuyến?,Tầng mạng (Network),Tầng vật lý,Tầng phiên,Tầng ứng dụng,A,medium
62,Giao thức TCP hoạt động ở tầng nào?,Tầng giao vận (Transport),Tầng mạng,Tầng liên kết dữ liệu,Tầng ứng dụng,A,medium
62,Sự khác nhau cơ bản giữa TCP và UDP là gì?,"TCP có kết nối và đảm bảo tin cậy, UDP không kết nối và nhanh hơn",UDP tin cậy hơn TCP,TCP nhanh hơn UDP,Không có khác biệt,A,medium
62,Địa chỉ MAC là gì?,Địa chỉ vật lý của card mạng,Địa chỉ logic của máy tính,Tên miền của trang web,Cổng dịch vụ mạng,A,easy
62,Địa chỉ IPv4 có bao nhiêu bit?,32 bit,64 bit,128 bit,16 bit,A,easy
62,Địa chỉ IPv6 có bao nhiêu bit?,32 bit,64 bit,128 bit,256 bit,C,easy
62,Giao thức DHCP có chức năng gì?,Cấp phát địa chỉ IP tự động cho thiết bị trong mạng,Phân giải tên miền,Truyền tệp tin,Gửi thư điện tử,A,easy
62,Giao thức DNS có chức năng gì?,Phân giải tên miền thành địa chỉ IP,Cấp phát IP động,Mã hóa dữ liệu,Định tuyến gói tin,A,easy
62,Cổng mặc định của giao thức HTTP là gì?,80,443,21,25,A,easy
62,Cổng mặc định của giao thức HTTPS là gì?,443,80,22,110,A,easy
62,Giao thức FTP dùng để làm gì?,Truyền tệp tin giữa các máy tính,Gửi email,Duyệt web,Điều khiển từ xa,A,easy
62,Giao thức SMTP dùng để làm gì?,Gửi thư điện tử,Nhận thư điện tử,Truyền tệp,Phân giải tên miền,A,easy
62,Thiết bị nào hoạt động ở tầng mạng và thực hiện định tuyến?,Router,Switch,Hub,Repeater,A,medium
62,Switch hoạt động chủ yếu ở tầng nào của mô hình OSI?,Tầng liên kết dữ liệu,Tầng mạng,Tầng vật lý,Tầng giao vận,A,medium
62,Hub khác Switch ở điểm nào?,"Hub phát tín hiệu ra mọi cổng, Switch gửi đúng cổng đích",Hub nhanh hơn Switch,Switch không có cổng,Không có khác biệt,A,medium
62,Subnet mask dùng để làm gì?,Xác định phần địa chỉ mạng và phần địa chỉ host,Mã hóa dữ liệu truyền,Chặn truy cập trái phép,Tăng tốc độ mạng,A,medium
62,Địa chỉ IP 192.168.1.1 thuộc lớp nào?,Lớp C,Lớp A,Lớp B,Lớp D,A,medium
62,Dải địa chỉ IP riêng (private) thường dùng trong mạng nội bộ là gì?,"192.168.x.x, 10.x.x.x, 172.16-31.x.x",8.8.8.8,1.1.1.1,203.x.x.x,A,medium
62,NAT có chức năng gì?,Chuyển đổi địa chỉ IP riêng thành IP công cộng,Phân giải tên miền,Cấp phát IP tự động,Mã hóa gói tin,A,medium
62,Mô hình TCP/IP có bao nhiêu tầng?,4 tầng,5 tầng,7 tầng,3 tầng,A,medium
62,Gói tin (packet) là gì?,Đơn vị dữ liệu được truyền trên mạng ở tầng mạng,Một tệp tin hoàn chỉnh,Một thiết bị mạng,Một giao thức truyền thông,A,easy
62,Băng thông mạng là gì?,Lượng dữ liệu tối đa truyền được trong một đơn vị thời gian,Khoảng cách truyền tín hiệu,Số thiết bị kết nối,Độ trễ của mạng,A,easy
62,Độ trễ (latency) trong mạng là gì?,Thời gian gói tin đi từ nguồn tới đích,Lượng dữ liệu truyền được,Số gói tin bị mất,Tốc độ xử lý của router,A,easy
62,Mạng LAN có phạm vi như thế nào?,"Trong một khu vực nhỏ như tòa nhà, văn phòng",Toàn cầu,Giữa các thành phố,Giữa các quốc gia,A,easy
62,Mạng WAN là gì?,Mạng diện rộng kết nối các vùng địa lý xa nhau,Mạng nội bộ trong tòa nhà,Mạng không dây cá nhân,Mạng trong một phòng,A,easy
62,Topology hình sao (Star) có đặc điểm gì?,Các thiết bị nối vào một thiết bị trung tâm,Các thiết bị nối thành vòng khép kín,Các thiết bị nối trên một đường trục chung,Mỗi thiết bị nối với mọi thiết bị khác,A,medium
62,Nhược điểm của topology hình sao là gì?,Hỏng thiết bị trung tâm thì toàn mạng ngừng hoạt động,Khó mở rộng,Tốn nhiều cáp nhất,Khó phát hiện lỗi,A,medium
62,Giao thức HTTPS bảo mật nhờ công nghệ nào?,SSL/TLS,FTP,DNS,DHCP,A,easy
62,Tường lửa (Firewall) hoạt động dựa trên nguyên tắc nào?,Lọc gói tin theo tập luật đã cấu hình,Diệt virus trong tệp,Tăng tốc độ mạng,Cấp phát địa chỉ IP,A,medium
